----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1           [-1, 16, 32, 32]             432
       BatchNorm2d-2           [-1, 16, 32, 32]              32
            Conv2d-3           [-1, 16, 32, 32]           2,304
       BatchNorm2d-4           [-1, 16, 32, 32]              32
            Conv2d-5           [-1, 16, 32, 32]           2,304
       BatchNorm2d-6           [-1, 16, 32, 32]              32
        BasicBlock-7           [-1, 16, 32, 32]               0
            Conv2d-8           [-1, 16, 32, 32]           2,304
       BatchNorm2d-9           [-1, 16, 32, 32]              32
           Conv2d-10           [-1, 16, 32, 32]           2,304
      BatchNorm2d-11           [-1, 16, 32, 32]              32
       BasicBlock-12           [-1, 16, 32, 32]               0
           Conv2d-13           [-1, 16, 32, 32]           2,304
      BatchNorm2d-14           [-1, 16, 32, 32]              32
           Conv2d-15           [-1, 16, 32, 32]           2,304
      BatchNorm2d-16           [-1, 16, 32, 32]              32
       BasicBlock-17           [-1, 16, 32, 32]               0
           Conv2d-18           [-1, 16, 32, 32]           2,304
      BatchNorm2d-19           [-1, 16, 32, 32]              32
           Conv2d-20           [-1, 16, 32, 32]           2,304
      BatchNorm2d-21           [-1, 16, 32, 32]              32
       BasicBlock-22           [-1, 16, 32, 32]               0
           Conv2d-23           [-1, 16, 32, 32]           2,304
      BatchNorm2d-24           [-1, 16, 32, 32]              32
           Conv2d-25           [-1, 16, 32, 32]           2,304
      BatchNorm2d-26           [-1, 16, 32, 32]              32
       BasicBlock-27           [-1, 16, 32, 32]               0
           Conv2d-28           [-1, 16, 32, 32]           2,304
      BatchNorm2d-29           [-1, 16, 32, 32]              32
           Conv2d-30           [-1, 16, 32, 32]           2,304
      BatchNorm2d-31           [-1, 16, 32, 32]              32
       BasicBlock-32           [-1, 16, 32, 32]               0
           Conv2d-33           [-1, 16, 32, 32]           2,304
      BatchNorm2d-34           [-1, 16, 32, 32]              32
           Conv2d-35           [-1, 16, 32, 32]           2,304
      BatchNorm2d-36           [-1, 16, 32, 32]              32
       BasicBlock-37           [-1, 16, 32, 32]               0
           Conv2d-38           [-1, 16, 32, 32]           2,304
      BatchNorm2d-39           [-1, 16, 32, 32]              32
           Conv2d-40           [-1, 16, 32, 32]           2,304
      BatchNorm2d-41           [-1, 16, 32, 32]              32
       BasicBlock-42           [-1, 16, 32, 32]               0
           Conv2d-43           [-1, 16, 32, 32]           2,304
      BatchNorm2d-44           [-1, 16, 32, 32]              32
           Conv2d-45           [-1, 16, 32, 32]           2,304
      BatchNorm2d-46           [-1, 16, 32, 32]              32
       BasicBlock-47           [-1, 16, 32, 32]               0
           Conv2d-48           [-1, 16, 32, 32]           2,304
      BatchNorm2d-49           [-1, 16, 32, 32]              32
           Conv2d-50           [-1, 16, 32, 32]           2,304
      BatchNorm2d-51           [-1, 16, 32, 32]              32
       BasicBlock-52           [-1, 16, 32, 32]               0
           Conv2d-53           [-1, 16, 32, 32]           2,304
      BatchNorm2d-54           [-1, 16, 32, 32]              32
           Conv2d-55           [-1, 16, 32, 32]           2,304
      BatchNorm2d-56           [-1, 16, 32, 32]              32
       BasicBlock-57           [-1, 16, 32, 32]               0
           Conv2d-58           [-1, 16, 32, 32]           2,304
      BatchNorm2d-59           [-1, 16, 32, 32]              32
           Conv2d-60           [-1, 16, 32, 32]           2,304
      BatchNorm2d-61           [-1, 16, 32, 32]              32
       BasicBlock-62           [-1, 16, 32, 32]               0
           Conv2d-63           [-1, 16, 32, 32]           2,304
      BatchNorm2d-64           [-1, 16, 32, 32]              32
           Conv2d-65           [-1, 16, 32, 32]           2,304
      BatchNorm2d-66           [-1, 16, 32, 32]              32
       BasicBlock-67           [-1, 16, 32, 32]               0
           Conv2d-68           [-1, 16, 32, 32]           2,304
      BatchNorm2d-69           [-1, 16, 32, 32]              32
           Conv2d-70           [-1, 16, 32, 32]           2,304
      BatchNorm2d-71           [-1, 16, 32, 32]              32
       BasicBlock-72           [-1, 16, 32, 32]               0
           Conv2d-73           [-1, 16, 32, 32]           2,304
      BatchNorm2d-74           [-1, 16, 32, 32]              32
           Conv2d-75           [-1, 16, 32, 32]           2,304
      BatchNorm2d-76           [-1, 16, 32, 32]              32
       BasicBlock-77           [-1, 16, 32, 32]               0
           Conv2d-78           [-1, 16, 32, 32]           2,304
      BatchNorm2d-79           [-1, 16, 32, 32]              32
           Conv2d-80           [-1, 16, 32, 32]           2,304
      BatchNorm2d-81           [-1, 16, 32, 32]              32
       BasicBlock-82           [-1, 16, 32, 32]               0
           Conv2d-83           [-1, 16, 32, 32]           2,304
      BatchNorm2d-84           [-1, 16, 32, 32]              32
           Conv2d-85           [-1, 16, 32, 32]           2,304
      BatchNorm2d-86           [-1, 16, 32, 32]              32
       BasicBlock-87           [-1, 16, 32, 32]               0
           Conv2d-88           [-1, 16, 32, 32]           2,304
      BatchNorm2d-89           [-1, 16, 32, 32]              32
           Conv2d-90           [-1, 16, 32, 32]           2,304
      BatchNorm2d-91           [-1, 16, 32, 32]              32
       BasicBlock-92           [-1, 16, 32, 32]               0
           Conv2d-93           [-1, 16, 32, 32]           2,304
      BatchNorm2d-94           [-1, 16, 32, 32]              32
